sup_id,name,full_name,gender,place_of_birth,first_appearance,publisher,alignment,race,height,weight,eye_color,hair_color,occupation,work_base,group_affiliation,relatives,intelligence,strength,speed,durability,power,combat,image_url
395,Kraven the Hunter,Sergei Kravinoff,Male,"Volgograd (formerly Stalingrad), Russia",The Amazing Spider-Man #15 (1964),Marvel Comics,bad,Human,6'0,106 kg,Brown,Black,"Professional game hunter, mercenary",,(formerly) The Sinister Six,"Nikolai & Anna Makarova Kravinoff (parents, deceased), Dmitri Smerdyakov (Chameleon, half-brother), Vladimir Kravinoff (Grim Hunter, son, deceased), Aloysha ""Al"" Kravinoff (Kraven II, son), Ned Tannengarden (son, deceased)",63,32,35,42,25,85,https://www.superherodb.com/pictures2/portraits/10/100/1033.jpg
396,Krypto,Krypto the Superdog,Male,,"Adventure Comics #210 (March, 1955)",DC Comics,good,Kryptonian,0'25,18 kg,Blue,White,,"Smallville, Kansas",Superman,,9,80,100,90,82,40,https://www.superherodb.com/pictures2/portraits/10/100/725.jpg
397,Kyle Rayner,Kyle Rayner,Male,"North Hollywood, Los Angeles, California",Green Lantern Vol 3 #48,DC Comics,good,Human,5'11,79 kg,Green,Black,"Green Lantern, Adventurer, Artist","Oa,formerly New York City, Los Angeles","Green Lantern Corps, New Guardians, formerly Challengers From Beyond, Sinestro Corps, Justice League of America, Blue Lantern Corps, Titans","Aaron Rayner (father), Maura Rayner (mother, deceased), Zachary Rayner (uncle, deceased), Roderick ""Snowy"" Rayner (grandfather, deceased), unnamed maternal great-grandfather (deceased), Kathleen (aunt), Cary Wren (descendant)",69,90,50,60,100,60,https://www.superherodb.com/pictures2/portraits/10/100/1409.jpg
398,Kylo Ren,Ben Solo,Male,,Star Wars: Episode VII - The Force Awakens (2015),George Lucas,bad,Human,0 cm,0 kg,,,,,,"Han Solo (Father), Princess Leia (Mother), Luke Skywalker (Uncle)",56,44,33,30,100,70,https://www.superherodb.com/pictures2/portraits/10/100/10559.jpg
399,Lady Bullseye,,Female,,,Marvel Comics,bad,,0 cm,0 kg,,Black,,,,,,63,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1170.jpg
400,Lady Deathstrike,Yuriko Oyama,Female,"Osaka, Japan",Alpha Flight Vol. 1 #33 (1985),Marvel Comics,bad,Cyborg,5'9,58 kg,Brown,Black,,,"Ally of Reverend William Stryker, former employee of Sabretooth, formerly Reavers","Kenji Oyama (Lord Dark Wind, father, deceased), two unnamed brothers (deceased)",63,28,42,85,48,90,https://www.superherodb.com/pictures2/portraits/10/100/810.jpg
401,Leader,Samuel Sterns,Male,"Boise, Idaho",,Marvel Comics,bad,,5'10,63 kg,Green,No Hair,,,Leader of Freehold,,100,10,12,14,59,42,https://www.superherodb.com/pictures2/portraits/10/100/885.jpg
402,Leech,,Male,,Uncanny X-Men #179,Marvel Comics,good,,0 cm,0 kg,,,"Survivor, former student",,"198; formerly Generation X, Daydreamers, Morlocks, X-Factor (trainee)","Annalee (foster mother, deceased)",25,5,12,14,62,14,https://www.superherodb.com/pictures2/portraits/10/100/834.jpg
403,Legion,David Haller,Male,Israel,"New Mutants #25 (March, 1985)",Marvel Comics,good,Mutant,5'9,59 kg,Green / Blue,Black,"Adventurer, Student","formerly Ruth Aldine's mind, Utopia, San Francisco Bay, California; Westcliffe, Colorado; ""No-Time""; Moira MacTaggart's Mutant Research Center, Muir Island, off the coast of Scotland; Haifa; Paris, France","Formerly X-Men, Muir Island X-Men","Charles Graymalkin (paternal collateral ancestor), Marcia Graymalkin (paternal collateral ancestor), Jonas Graymalkin (paternal collateral ancestor), Brian Xavier (paternal grandfather), Sharon Xavier (paternal grandmother), Kurt Marko (paternal step-grandfather), Cain Marko (paternal step-uncle), Cassandra Nova Xavier (paternal aunt), Charles Xavier (father), Gabrielle Haller (mother), Daniel Shomron (stepfather), Xavier Family (paternal relatives), Ruth Aldine (lover/current body)",50,100,42,30,100,75,https://www.superherodb.com/pictures2/portraits/10/100/10651.jpg
404,Leonardo,Leonardo,Male,,Teenage Mutant Ninja Turtles #1,IDW Publishing,good,Mutant,0 cm,0 kg,Blue,No Hair,Ninja,"New York, New York",,"Donatello (brother), Michelangelo (brother), Raphael (brother)",75,16,50,65,59,80,https://www.superherodb.com/pictures2/portraits/10/100/10327.jpg
405,Lex Luthor,Lex Luthor,Male,,Action Comics #23,DC Comics,bad,Human,6'2',95 kg,Green,No Hair,Owner of LexCorp,,"Injustice Gang, Injustice League, Society of Supervillains","Casey and Elaine Griggs (foster parents, deceased),
Lena Luthor (sister pre-Crisis; daughter post-Crisis),
Elizabeth Perske (ex-wife),
Perry J. White Jr. (son, deceased),
Contessa Erica Alexandra del Portenza (wife, assumed deceased)",100,53,25,65,68,70,https://www.superherodb.com/pictures2/portraits/10/100/727.jpg
406,Light Lass,Ayla Ranzz,Female,,Teen Titans/Legion Special #1,DC Comics,good,,5'5,54 kg,Blue,Red,,United Planets,"Legion of Super-Heroes, formerly the Wanderers","Unnamd parents, Garth Ranzz (Lightning Lad, twin brother); Mekt Ranzz (older brother)",38,10,35,28,67,42,https://www.superherodb.com/pictures2/portraits/10/100/1178.jpg
407,Lightning Lad,Garth Ranzz,Male,,Teen Titans/Legion Special #1,DC Comics,good,,5'1,65 kg,Blue,Red,Legionnaire,"Earth, 31st century",Legion of Super-Heroes,,38,10,23,28,60,42,https://www.superherodb.com/pictures2/portraits/10/100/1177.jpg
408,Lightning Lord,Mekt Ranzz,Male,,Supergirl and the Legion of Super-Heroes #25 (Feb. 2007),DC Comics,bad,,6'3,95 kg,Blue,Red,,,"The Wanderers, former ally of the Legion of Super-Heroes.",,44,10,23,42,66,42,https://www.superherodb.com/pictures2/portraits/10/100/1179.jpg
409,Living Brain,,,,Amazing Spider-Man #8 (1964),Marvel Comics,bad,,6'6,360 kg,Yellow,,Robot,,,,75,53,35,56,31,28,https://www.superherodb.com/pictures2/portraits/10/100/1037.jpg
410,Living Tribunal,,,,Strange Tales #157,Marvel Comics,neutral,Cosmic Entity,0 cm,0 kg,Blue,No Hair,,,,One-Above-All (creator),100,100,100,100,100,30,https://www.superherodb.com/pictures2/portraits/10/100/10523.jpg
411,Liz Sherman,Elizabeth Anne Sherman,Female,,,Dark Horse Comics,good,,0 cm,0 kg,,,,,B.P.R.D.,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/868.jpg
412,Lizard,Curtis Connors,Male,"Coral Gables, Florida",Amazing Spider-Man #6,Marvel Comics,bad,Human,6'8,230 kg,Red,No Hair,Research biologist,Florida,,"Martha (wife, deceased), Billy (son), unnamed sister",50,51,27,70,63,56,https://www.superherodb.com/pictures2/portraits/10/100/11.jpg
413,Lobo,Lobo,Male,,Omega Men # 3,DC Comics,neutral,Czarnian,7'6,288 kg,Red,Black,"Assassin, Bounty Hunter, Priest",Mobile throughout several galaxies,"Formerly LEGION, Young Justice; First Celestial Church of the Triple Fish-God",Slobo (clone),94,100,54,100,100,85,https://www.superherodb.com/pictures2/portraits/10/100/1127.jpg
414,Loki,Loki Laufeyson,Male,"Jotunheim, Asgard",Journey into Mystery Vol. 1 #85,Marvel Comics,bad,Asgardian,6'4,236 kg,Green,Black,God of evil; former god of mischief and madness,Asgard,"Asgardians, Karnilla, Enchantress, Skurge the Executioner, Cobra, Mister Hyde, Absorbing Man, Igron, Tyr, Lorelei, Hela, Ulik, Frost Giants, Storm Giants (former), Dormammu, ""Acts of Vengeance"" prime movers (Dr. Doom, Magneto, Red Skull, Mandari","Laufey (father, deceased), Farbauti (mother, deceased), Sigyn (wife, deceased), Odin (foster father, deceased), Frigga (foster mother, deceased), Thor, Vidar (foster brothers, deceased), Hela,Fenris (Wolf), Jordmungand (Midgard Serpent) (children, deceased), Arkin (cousin, deceased)",88,63,46,85,100,60,https://www.superherodb.com/pictures2/portraits/10/100/928.jpg
415,Longshot,,Male,,"Longshot #1 (September, 1985)",Marvel Comics,good,Human,6'2,36 kg,Blue,Blond,"freedom fighter, stuntman rebel, adventurer","X-Factor Investigations Headquarters, New York City, New York; formerly Detroit, Michigan; mobile; Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York; Mojoverse; Cooterman's Creek, Australian Outback, Australia; Alcatraz I",X-Factor Investigations; rebel forces on his homeworld; formerly Exiles; X-Men,"Arize (creator), Alison Blaire (Dazzler) (wife), Gaveedra Seven (Shatterstar) (alleged son)",50,10,27,10,71,70,https://www.superherodb.com/pictures2/portraits/10/100/1531.jpg
416,Luke Cage,Luke Cage,Male,"Harlem, New York City",Hero for Hire #1 (1972),Power Man,good,Human,6'6,191 kg,Brown,Black,"Adventurer, bar owner, bodyguard, mercenary; formerly theater owner, private investigator, various odd jobs",,"Underground Avengers (formerly Daredevil's Unnamed Super-Hero Team), Secret Defenders, Heroes for Hire, Nightwing Restorations, Fantastic Four, Defenders, Bloods","Jessica Jones (wife), James Leonard Lucas (father), Esther (mother, deceased), James Jr. (Coldfire, brother), unnamed daughter",50,63,29,95,44,70,https://www.superherodb.com/pictures2/portraits/10/100/269.jpg
417,Luke Campbell,Luke Campbell,Male,,,NBC - Heroes,bad,,0 cm,0 kg,,,,"Newark, NJ",,"Unnamed father (estranged), Mary Campbell",,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1311.jpg
418,Luke Skywalker,Luke Skywalker,Male,Tatooine,Star Wars: Episode IV - A New Hope (1977),George Lucas,good,Human,5'6,77 kg,Blue,Blond,,,"Alliance to Restore the Republic, Jedi Order, Alliance of Free Planets, Bright Tree Village, New Republic, New Jedi Order","Darth Vader (father), Princes Leia (Sister), Yoda (Master), Obi-Wan Kenobi (Master)",69,38,42,25,100,100,https://www.superherodb.com/pictures2/portraits/10/100/10447.jpg
419,Luna,Luna Maximoff,Female,"Attilan, Blue Area of the Moon",,Marvel Comics,good,Human,0 cm,0 kg,,,,,,"Quicksilver (Pietro Maximoff, father), Magneto (grandfather), Crystal (mother), Scarlet Witch, (aunt), Polaris (aunt)",38,6,83,14,53,14,https://www.superherodb.com/pictures2/portraits/10/100/933.jpg
420,Lyja,Lyja,Female,,"Fantastic Four #265 (as Alicia), Fantastic Four #357 (as Lyja)",Marvel Comics,good,,0 cm,0 kg,Green,Green,Former Skrull Liason Officer,,"Former lover of Paibok, Former ally of the Fantastic Four, Former wife of the Human Torch","Johnny Storm - Human Torch (ex-husband), Susan Storm - Invisible Woman (ex-sister-in-law)",,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1017.jpg
421,Mach-IV,Abner Jenkins,Male,"Baltimore, Maryland",(Beetle) Strange Tales #123 (1964); (MACH-I) Incredible Hulk #449 (1997); (MACH-II) Thunderbolts #37 (2000); (MACH-III) Thunderbolts #57 (2001); (MACH-IV) New Thunderbolts #1 (2005),Marvel Comics,bad,,5'11,79 kg,Brown,Brown,"Adventurer; former master mechanic, professional criminal, mercenary",,"formerly Thunderbolts, Masters of Evil, Sinister Syndicate, Justin Hammer's Hit Squad, Maggia, Sinister Seven, Commission on Superhuman Activities, Defenders impersonators, Burton Canyon Police Department",,75,36,60,84,60,56,https://www.superherodb.com/pictures2/portraits/10/100/370.jpg
422,Machine Man,"X-51, Aaron Stack",,"Central City, California",First appearance unknown,Marvel Comics,good,,6',383 kg,Red,Black,Insurance Investigator,"Garvin's Garage, Queens, New York",Avengers,"Dr. Able Stack, 'father'",63,32,35,84,51,64,https://www.superherodb.com/pictures2/portraits/10/100/90.jpg
423,Magneto,Erik Magnus Lensherr,Male,"Unrevealed, probably somewhere in Northern Europe",X-MEN Vol. 1 #1,Marvel Comics,bad,Mutant,6'2,86 kg,Grey,White,"Currently Revolutionary and Conqueror, formerly Volunteer Orderly, Secret Agent","Currently unrevealed, formerly Asteroid M; various hidden bases on Earth including one in Antarctica; an island in the Bermuda Triangle; Professor Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York","Currently None, formerly Brotherhood of Evil Mutants I and II, X-Men, teacher of the New Mutants, Lords Cardinal of the Hellfire Club, leader of the Acolytes","Magda (wife, deceased), Anya (daughter, deceased), Pietro Maximoff (Quicksilver, son), Wanda Maximoff (Scarlet Witch, daughter), Lorna Dane (Polaris, daughter), Joseph (clone, deceased), Luna (granddaughter)",88,80,27,84,91,80,https://www.superherodb.com/pictures2/portraits/10/100/12.jpg
424,Magog,David Reid,Male,,,DC Comics,good,,0 cm,0 kg,Blue,Blond,,,"formerly Justice Society of America, formerally United States Marine Corps","Franklin Delano Roosevelt (great-grandfather, deceased)",50,48,23,64,66,72,https://www.superherodb.com/pictures2/portraits/10/100/1324.jpg
425,Magus,,Male,Kvch (Technarchy�s home planet),New Mutants #18 (1984),Marvel Comics,bad,,6'0,0 kg,Black,,Ruler of the Technarchy,,,"Warlock (son, deceased)",88,100,70,99,100,74,https://www.superherodb.com/pictures2/portraits/10/100/1297.jpg
426,Man of Miracles,,,,Spawn #75,Image Comics,,God / Eternal,0 cm,0 kg,Blue,Silver,,,,,100,100,100,100,100,100,https://www.superherodb.com/pictures2/portraits/10/100/10889.jpg
427,Man-Bat,Robert Kirkland Langstrom,Male,"Chicago, Illinois","Detective Comics #400 (June, 1970)",DC Comics,neutral,Human,0 cm,0 kg,Brown,Brown,Zoologist,Gotham City,"Formerly Spirit Squad, The Network","Francine Langstrom (wife), Rebecca Elizabeth Langtrom (daughter); Aaron Langstrom (son); Britt Langstrom (sister); Ted Friedel (brother-in-law)",38,18,50,70,33,30,https://www.superherodb.com/pictures2/portraits/10/100/731.jpg
428,Man-Thing,Dr. Theodore Sallis,Male,,"Savage Tales #1 (May, 1971)",Marvel Comics,good,,7'0,225 kg,Red,No Hair,,"Man-Thing's Swamp, Citrusville, Florida","Thunderbolts, Legion of Monsters, Daydreamers",Ellen Brandt (ex-wife) Job Burke (son),50,32,8,100,100,40,https://www.superherodb.com/pictures2/portraits/10/100/382.jpg
429,Man-Wolf,John Jameson,Male,"New York, New York","AMAZING SPIDER-MAN #1, (as Man-Wolf) AMAZING SPIDER-MAN #124",Marvel Comics,good,,6'2',90 kg,Brown,Auburn,"Employed by Dept. of Social Services, Queens; former astronaut, test pilot, security chief for Ravenscroft Institute",Queens,"Ravencroft Insitute Staff, Avengers Support Crew, NASA, USAF","J. Jonah (father), Joan (mother, deceased), Marla Madison (stepmother), David (paternal grandfather, presumed deceased), Betty (paternal grandmother, presumed deceased)",63,44,35,42,45,70,https://www.superherodb.com/pictures2/portraits/10/100/91.jpg
430,Mandarin,Khan,Male,China,"Tales of Suspense #50 (February, 1964)",Marvel Comics,bad,Human,6'2,97 kg,Blue,White,"Would-be conqueror; former janitor, businessman and crimelord, government administrator",Prometheus Corporation; formerly Dragon of Heaven; Palace of the Star Dragon in the Valley of Spirits.,"current CEO of Prometheus Corporation; has employed the Avatars, Living Laser, Power Man, Swordsman, Enchantress, Executioner, Sandman, and Ladykiller.","Unidentified father, mother, paternal aunt (all deceased). Mei-Ling (fianc�e, deceased), Temujin (son), Genghis Khan (alleged ancestor, deceased)",100,28,23,28,100,95,https://www.superherodb.com/pictures2/portraits/10/100/1175.jpg
431,Mantis,,Female,Vietnam,Avengers #112,Marvel Comics,good,Human-Kree,5'6,52 kg,Green,Black,"Celestial Madonna, former adventuress, former bar-maid/prostitute/exotic dancer",Mobile,,"Libra (Gustav Brandt) (father), Lau Brandt (mother), Cotati possessing Jacques Duquesne (husband), Quoi (son)",63,8,33,80,100,80,https://www.superherodb.com/pictures2/portraits/10/100/384.jpg
432,Martian Manhunter,J'onn J'onzz,Male,,Detective Comics #225 (1955),DC Comics,good,Martian,6'7,135 kg,Red,No Hair,,,"Darkstars, Justice League of Aliens, Justice League Of America, Justice League Task Force, Justice League Unlimited, Martians, Outsiders","M'yrnn J'onzz (father, deceased); Sha'sheen J'onzz (mother, deceased); M'yri'ah (wife, deceased); K'hym (daughter, deceased); Ma'alefa'ak (twin brother); D'all (father-in-law, deceased); J'ahrl J'onzz (ancestor, deceased)",100,95,92,100,100,85,https://www.superherodb.com/pictures2/portraits/10/100/733.jpg
433,Marvel Girl,Rachel Anne Summers,Female,,UNCANNY X-MEN #141,Marvel Comics,good,,5'7',56 kg,Green,Red,Adventurer,"Xavier Institute of Higher Learning, Salem Center, Westchester County, New York (formerly) Braddock Lighthouse, England","Starjammers, formerly X-Men, former servant of Elias Bogan, formerly Clan Askani (leader), Excalibur, former servant of Ahab","Scott Summers (Cyclops, alternate timeline father, deceased in own time), Jean Grey-Summers (Phoenix, alternate timeline mother, deceased in own time), Alex Summers (Havok, alternate timeline uncle), Franklin Richards (alternate future husband), Jonathan Reed Richards (Hyperstorm, alternate future son), David Richards (alternate future son)",63,85,47,42,100,80,https://www.superherodb.com/pictures2/portraits/10/100/94.jpg
434,Master Brood,Currently Colin Wood,Male,Perhaps England,Team Epic Episode 101,Team Epic TV,good,,6'0,81 kg,Blue,Black,,"Toronto, Canada",Team Epic,Deceased,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/958.jpg
435,Master Chief,John-117,Male,"Elysium City, Eridanus II",,Microsoft,good,Human / Altered,7',0 kg,Brown,Brown,Master Chief Petty Officer of the Navy,,"United Nations Space Command, Navy",,75,73,35,80,69,100,https://www.superherodb.com/pictures2/portraits/10/100/1110.jpg
436,Match,Kent Connor,Male,,"Superboy Vol 4 #35 (January, 1997)",DC Comics,bad,,0 cm,0 kg,Black,Black,,,"Titans East, the Agenda, Project Cadmus","Superman (genetic template via Superboy), Lex Luthor (genetic Template via Superboy), Superboy (genetic template)",75,95,83,85,100,70,https://www.superherodb.com/pictures2/portraits/10/100/1459.jpg
437,Matt Parkman,Matthew Parkman,Male,,Heroes S01E02 - Don't Look Back,NBC - Heroes,good,,0 cm,0 kg,,,NYPD detective,"New York, NY; formerly Los Angeles, CA",,"Maury Parkman (father), Janice Parkman (ex-wife)",63,10,12,14,59,56,https://www.superherodb.com/pictures2/portraits/10/100/948.jpg
438,Maverick,Christopher Bradley,Male,,X-Men Unlimited #8 (1995),Marvel Comics,good,,6'4,110 kg,Blue,Black,"Mercenary; former adventurer, student",,"(As Maverick) Formerly Gene Nation, Cable�s Underground; (as Bolt) formerly New Warriors","Robert Bradley (Frank Johnson, father), Marion Bradley (Rose Johnson, mother), Catherine Bradley (Jennifer Johnson, sister)",63,10,12,42,60,85,https://www.superherodb.com/pictures2/portraits/10/100/257.jpg
439,Maxima,,Female,Almerac,,DC Comics,bad,,5'11,72 kg,Brown,Red,"Adventurer, Queen of the Almerac Empire",Imperial Royal Palace,"Justice League Task Force, Extreme Justice",,75,90,35,56,81,75,https://www.superherodb.com/pictures2/portraits/10/100/1168.jpg
440,Maya Herrera,Maya Herrera,Female,Dominican Republic,,NBC - Heroes,good,,0 cm,0 kg,,,,,,Alejandro (twin brother),50,10,12,14,60,14,https://www.superherodb.com/pictures2/portraits/10/100/944.jpg
441,Medusa,Medusalith Amaquelin Boltagon,Female,"Island of Attilan, Atlantic Ocean",Fantastic Four Vol. 1 #36 (1965),Marvel Comics,good,Inhuman,5'11,59 kg,Green,Red,"Queen, Royal interpreter",Attilan,"Inhumans, Fantastic Four","Kobar, La (maternal grandparents), Azur (maternal aunt), Mander (maternal uncle-by-marriage), Quelin (father), Ambur (mother), Crystal (sister), Black Bolt (husband, second cousin), Ahura (son), Karnak (cousin), Triton (cousin), Psynapse (second cousin), Maximus (brother-in-law, second cousin), Ronan the Accuser (brother-in-law), Quicksilver (ex-brother-in-law), Luna (niece)",75,34,35,70,37,56,https://www.superherodb.com/pictures2/portraits/10/100/96.jpg
442,Meltdown,Tabitha Smith,Female,"Roanoke, Virginia",,Boom-Boom,good,,5'5,54 kg,Blue,Blond,"Adventurer, former student, thief",,"Formerly Nextwave, X-Force, Genoshan Mutates, New Mutants, X-Terminators, X-Factor (trainee), Fallen Angels","Martin Louis Smith (father), Mandy Smith (step-mother), Wanda Jo Bialowsky-Smith (step-mother)",38,10,12,42,62,64,https://www.superherodb.com/pictures2/portraits/10/100/258.jpg
443,Mephisto,,Male,Hell,,Marvel Comics,bad,,6'6,140 kg,White,Black,Lord of a realm of Hell,,"Hell-lords, Lords of the Splinter Realms; formerly manipulator of the Six-Fingered Hand","Blackheart (son), Mephista (daughter); presumptive relationship to other Hell-lords; quasi-paternal relationship to Mikal Drakonmegas (Hellfire) and Daimon (Hellstorm) and Satana Hellstrom; formerly engaged to unidentified demoness",88,85,35,95,100,42,https://www.superherodb.com/pictures2/portraits/10/100/1322.jpg
444,Mera,Mera,Female,,"Aquaman #11 (October, 1963)",DC Comics,good,Atlantean,5'9,72 kg,Blue,Red,Former queen of Atlantis; Former queen of Dimension Aqua,Atlantis,Aquaman Family; formerly Red Lantern Corps,"Aquaman (husband); Aquababy (son, deceased); A.J. (son); Siren (Hila, twin sister)",56,62,79,60,92,80,https://www.superherodb.com/pictures2/portraits/10/100/1388.jpg
445,Metallo,John Corben,Male,,"Superman Vol 2 #1 (January, 1987)",DC Comics,bad,Android,6'5,90 kg,Green,Brown,Professional criminal,"Mobile, though he generally operates out of Metropolis",Superman Revenge Squad,,75,53,23,95,86,64,https://www.superherodb.com/pictures2/portraits/10/100/737.jpg
446,Metamorpho,Rex Mason,Male,,Brave and the Bold #57,DC Comics,good,,6'1,90 kg,Black,No Hair,"Adventurer, former Soldier of Fortune",,"Outsiders, formerly Doom Patrol, Justice League Europe, Seven Soldiers of Victory","Unnamed parents (deceased), Sapphire Stagg Mason (wife), Joseph (son), Simon Stagg (father-in-law)",,82,,,,,https://www.superherodb.com/pictures2/portraits/10/100/738.jpg
447,Meteorite,,Female,,,Marvel Comics,good,,0 cm,0 kg,,,,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1333.jpg
448,Metron,Metron,Male,,"New Gods vol. 1 #1 (February-March, 1971)",DC Comics,good,,6'1,86 kg,Blue,Black,"Scientist, seeker of knowledge","Supertown, New Genesis",New Gods,,88,10,47,56,100,28,https://www.superherodb.com/pictures2/portraits/10/100/841.jpg
449,Micah Sanders,Micah Sanders,Male,,,NBC - Heroes,good,,0 cm,0 kg,Brown,Black,Elementary school student,"New Orleans, LA",,"Niki Sanders (Mother), DL Hawkins (Father), Paulette Hawkins (paternal grandmother), Hal Sanders (maternal grandfather), Nana Dawson (Guardian)
Nana Dawson (Great-aunt), Monica Dawson (Cousin), Damon Dawson (Cousin)",63,8,12,14,57,14,https://www.superherodb.com/pictures2/portraits/10/100/951.jpg
450,Michelangelo,,Male,,,IDW Publishing,good,Mutant,0 cm,0 kg,Blue,,,,,"Leonardo (brother), Donatello (brother), Raphael (brother)",63,14,50,65,59,75,https://www.superherodb.com/pictures2/portraits/10/100/10329.jpg
451,Micro Lad,Gim Allon,Male,,Teen Titans/Legion Special #1 (2004),DC Comics,good,,6',77 kg,Grey,Brown,,"United Planets, 31st century",Legion of Super-Heroes,,38,28,27,28,44,32,https://www.superherodb.com/pictures2/portraits/10/100/1181.jpg
452,Mimic,Calvin Montgomery Rankin,Male,"Passiac, New Jersey",Uncanny X-Men #19,Marvel Comics,good,,6'2,101 kg,Brown,Brown,,,"Formerly Brotherhood Of Mutants, Excalibur, X-Men, former agent of Onslaught and Sledge","Ronald Rankin (father, deceased)",63,67,47,56,79,42,https://www.superherodb.com/pictures2/portraits/10/100/97.jpg
453,Minna Murray,Wilhelmina Harker,Female,,,Wildstorm,good,,0 cm,0 kg,,,,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/881.jpg
454,Misfit,Charlotte Gage-Radcliffe,Female,,Birds of Prey #96,Batgirl V,good,,0 cm,0 kg,Blue,Red,,"Dalten Towers, Metropolis",Birds of Prey,,63,32,23,80,91,42,https://www.superherodb.com/pictures2/portraits/10/100/1114.jpg
455,Miss Martian,M'gann M'orzz,Female,Mars,"Teen Titans Vol 3 #37 (August, 2006)",DC Comics,good,,5'10,61 kg,Red,Red,Adventurer,"Arizona; San Francisco, California; formerly the Tanami Desert, Australia",Teen Titans,,63,85,58,100,100,45,https://www.superherodb.com/pictures2/portraits/10/100/1394.jpg
456,Mister Fantastic,Reed Richards,Male,"Central City, California",FANTASTIC FOUR #1,Marvel Comics,good,Human / Radiation,6'1,81 kg,Brown,Brown,"Scientist, adventurer",New York City,Fantastic Four,"Nathaniai (father), Evelyn (mother, deceased), Susan Storm - Invisible Woman (wife), Franklin (son), Johnny Storm - Human Torch (brother-inlaw), Cassandra (stepmother, deceased), Immortus (father's descendant, see Immortus, Kang, Rama-Tut).",100,10,18,70,33,64,https://www.superherodb.com/pictures2/portraits/10/100/408.jpg
457,Mister Freeze,Victor Fries,Male,,Batman #121 (Feb. 1959),DC Comics,bad,Human,6'0,86 kg,,,,,"Assorted Batman rogues, The Society","Nora Fries (wife, deceased, then resurrected as Lazara), Charles (Father) and Lorraine Fries (Mother)",75,32,12,70,37,28,https://www.superherodb.com/pictures2/portraits/10/100/742.jpg
458,Mister Knife,J'son,Male,"Spartax, Spartoi Empire, near the Shi'ar Galaxy","Inhumans Vol 3 #2 (July, 2000)",Marvel Comics,bad,Spartoi,0 cm,0 kg,Blue,Brown,"Crimelord; former emperor, prince","Formerly Spartax, Spartoi Empire, near the Shi'ar Galaxy","Slaughter Lords (leader); formerly Galactic Council, ruler of the Spartoi Empire","Eson (father, deceased), Peter Quill (Star-Lord, son), Victoria (daughter)",75,10,17,30,13,65,https://www.superherodb.com/pictures2/portraits/10/100/10633.jpg
459,Mister Mxyzptlk,Mr. Mxyzptlk,Male,,Superman #30,DC Comics,bad,God / Eternal,0 cm,0 kg,,,,,,,100,85,100,100,100,50,https://www.superherodb.com/pictures2/portraits/10/100/744.jpg
460,Mister Sinister,Nathaniel Essex,Male,"London, England","Uncanny X-Men #221 (September, 1987)",Marvel Comics,bad,Human / Altered,6'5,128 kg,Red,Black,"Geneticist, Criminal, biologist and mutant-supremacist",Many bases throughout the world including his State Home for Foundlings and the Center for Homo Superior Medical Care.,"Marauders (founder), Nasty Boys (founder); formerly Weapon X, Third Reich","Rebecca Essex (wife, deceased), Adam Stanislaus Essex (son, deceased), N2 (creation, deceased), Madelyne Pryor (creation, deceased), Claudine Renko (clone ""daughter"")",100,48,46,90,100,50,https://www.superherodb.com/pictures2/portraits/10/100/856.jpg
461,Mister Zsasz,Victor Zsasz,Male,,,DC Comics,bad,Human,0 cm,0 kg,Blue,Blond,Serial Killer,,,,88,22,33,28,18,85,https://www.superherodb.com/pictures2/portraits/10/100/1486.jpg
462,Mockingbird,Barbara Morse,Female,"San Diego, California","Astonishing Tales #6 (June, 1971)",Marvel Comics,good,Human,5'9,61 kg,Blue,Blond,"Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist","New York City, New York","World Counterterrorism Agency; formerly Secret Avengers, New Avengers, West Coast Avengers, Avengers, Great Lakes Avengers, S.H.I.E.L.D.; partner of Hawkeye; associate of Dr. Wilma Calvin",Susan Morse (mother); Ben Morse (brother); Hawkeye (Clint Barton) (ex-husband),75,31,38,20,48,95,https://www.superherodb.com/pictures2/portraits/10/100/1328.jpg
463,MODOK,George Tarleton,Male,,Tales of Suspense #93,Marvel Comics,bad,Cyborg,12'0,338 kg,White,Brownn,"Would-be conqueror, AIM leader, terrorist; former AIM agent, technician",,,"M.O.D.O.K. Superior (clone), Head Case (son), Number None (son)",100,18,25,25,79,15,https://www.superherodb.com/pictures2/portraits/10/100/10438.jpg
464,Mogo,Mogo,Male,,"Green Lantern Vol 2 #188 (May, 1985)",DC Comics,good,Planet,0 cm,0 kg,,,Green Lantern,Sector 2261,Green Lantern Corps,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1432.jpg
